127.0.0.1 - - [19/Mar/2024:20:18:01 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/Mar/2024:20:18:05 +0530] "GET /Dynamic1/ HTTP/1.1" 200 746
0:0:0:0:0:0:0:1 - - [19/Mar/2024:20:18:05 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [19/Mar/2024:20:18:28 +0530] "GET /Dynamic1/UserRegistration.jsp HTTP/1.1" 200 1985
0:0:0:0:0:0:0:1 - - [19/Mar/2024:20:18:39 +0530] "POST /Dynamic1/UserRegistrationCtl HTTP/1.1" 200 2334
0:0:0:0:0:0:0:1 - - [19/Mar/2024:20:22:20 +0530] "GET /Dynamic1/UserRegistrationCtl HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Mar/2024:20:22:27 +0530] "GET /Dynamic1/ HTTP/1.1" 200 746
0:0:0:0:0:0:0:1 - - [19/Mar/2024:20:22:29 +0530] "GET /Dynamic1/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Mar/2024:20:22:32 +0530] "GET /Dynamic1/LoginView.jsp HTTP/1.1" 200 1105
0:0:0:0:0:0:0:1 - - [19/Mar/2024:20:22:34 +0530] "GET /Dynamic1/LoginView.jsp HTTP/1.1" 200 1105
0:0:0:0:0:0:0:1 - - [19/Mar/2024:20:22:37 +0530] "POST /Dynamic1/LoginCtl HTTP/1.1" 200 1149
0:0:0:0:0:0:0:1 - - [19/Mar/2024:20:24:41 +0530] "GET /Dynamic1/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Mar/2024:20:24:41 +0530] "GET /Dynamic1/LoginView.jsp HTTP/1.1" 200 1105
0:0:0:0:0:0:0:1 - - [19/Mar/2024:20:24:43 +0530] "POST /Dynamic1/LoginCtl HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [19/Mar/2024:20:25:12 +0530] "GET /Dynamic1/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Mar/2024:20:25:12 +0530] "GET /Dynamic1/LoginView.jsp HTTP/1.1" 200 1105
0:0:0:0:0:0:0:1 - - [19/Mar/2024:20:25:14 +0530] "POST /Dynamic1/LoginCtl HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [19/Mar/2024:20:25:42 +0530] "POST /Dynamic1/LoginCtl HTTP/1.1" 200 808
0:0:0:0:0:0:0:1 - - [19/Mar/2024:20:25:46 +0530] "GET /Dynamic1/UserListCtl HTTP/1.1" 200 4742
